Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
17,Geelong Cats,Brisbane Lions,Geelong Cats,67.43,18
17,Sydney Swans,Western Bulldogs,Sydney Swans,62.4,13
17,West Coast Eagles,Adelaide Crows,West Coast Eagles,54.8,5
17,Hawthorn,Melbourne,Hawthorn,72.93,25
17,GWS Giants,Fremantle,Fremantle,66.96,18
17,Gold Coast Suns,Collingwood,Collingwood,53.05,3
17,Richmond,Carlton,Carlton,77.95,32
17,Essendon,St Kilda,St Kilda,65.0,15
17,Port Adelaide,North Melbourne,North Melbourne,57.46,8
