Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
11,Hawthorn,Adelaide Crows,Hawthorn,64.42,15
11,Richmond,Essendon,Essendon,56.45,6
11,Fremantle,St Kilda,Fremantle,63.8,14
11,North Melbourne,Gold Coast Suns,North Melbourne,55.76,6
11,Geelong Cats,Sydney Swans,Geelong Cats,60.81,11
11,Collingwood,West Coast Eagles,Collingwood,89.09,52
11,Port Adelaide,Carlton,Port Adelaide,52.69,3
11,GWS Giants,Brisbane Lions,GWS Giants,52.46,2
11,Western Bulldogs,Melbourne,Melbourne,58.23,8
