Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
13,Adelaide Crows,Geelong Cats,Geelong Cats,51.25,1
13,Hawthorn,Western Bulldogs,Hawthorn,72.7,24
13,North Melbourne,Fremantle,Fremantle,66.04,17
13,Gold Coast Suns,Brisbane Lions,Gold Coast Suns,60.04,10
13,West Coast Eagles,Port Adelaide,Port Adelaide,53.9,4
13,Sydney Swans,St Kilda,Sydney Swans,68.79,20
13,Essendon,Carlton,Carlton,70.56,22
13,Collingwood,Melbourne,Collingwood,50.18,1
