Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
18,Fremantle,Sydney Swans,Fremantle,58.48,9
18,Collingwood,North Melbourne,Collingwood,65.72,16
18,St Kilda,Port Adelaide,St Kilda,58.5,9
18,GWS Giants,Geelong Cats,GWS Giants,66.39,17
18,Carlton,Hawthorn,Carlton,56.0,6
18,Adelaide Crows,Gold Coast Suns,Adelaide Crows,87.66,49
18,Western Bulldogs,West Coast Eagles,Western Bulldogs,79.99,35
18,Melbourne,Richmond,Melbourne,79.99,35
18,Brisbane Lions,Essendon,Brisbane Lions,90.61,57
