Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
9,Fremantle,Hawthorn,Fremantle,61.93,12
9,Brisbane Lions,Carlton,Brisbane Lions,85.71,45
9,Port Adelaide,Western Bulldogs,Port Adelaide,79.89,34
9,North Melbourne,Sydney Swans,Sydney Swans,57.16,7
9,GWS Giants,Essendon,GWS Giants,78.22,32
9,Gold Coast Suns,St Kilda,Gold Coast Suns,50.54,1
9,Geelong Cats,Collingwood,Geelong Cats,63.67,14
9,Melbourne,West Coast Eagles,Melbourne,79.75,34
9,Richmond,Adelaide Crows,Adelaide Crows,74.5,27
