Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
0,Sydney Swans,Hawthorn,Sydney Swans,61.07,29
0,GWS Giants,Collingwood,GWS Giants,50.93,19
1,Richmond,Carlton,Richmond,66.49,28
1,Hawthorn,Essendon,Hawthorn,70.7,41
1,Geelong Cats,Fremantle,Geelong Cats,61.99,39
1,Sydney Swans,Brisbane Lions,Sydney Swans,68.32,26
1,Western Bulldogs,North Melbourne,North Melbourne,62.71,27
1,Collingwood,Port Adelaide,Collingwood,50.39,28
1,Adelaide Crows,St Kilda,Adelaide Crows,59.68,28
1,Melbourne,GWS Giants,GWS Giants,51.24,10
1,West Coast Eagles,Gold Coast Suns,West Coast Eagles,51.94,26
2,Carlton,Hawthorn,Hawthorn,53.74,28
2,Western Bulldogs,Collingwood,Western Bulldogs,60.64,21
2,Essendon,Adelaide Crows,Essendon,56.26,18
2,Port Adelaide,Richmond,Port Adelaide,61.19,33
2,St Kilda,Geelong Cats,St Kilda,59.07,28
2,Brisbane Lions,West Coast Eagles,Brisbane Lions,86.49,83
2,North Melbourne,Melbourne,North Melbourne,61.34,15
2,Fremantle,Sydney Swans,Fremantle,53.61,28
3,Essendon,Port Adelaide,Essendon,63.21,64
3,Carlton,Western Bulldogs,Carlton,56.9,3
3,Melbourne,Gold Coast Suns,Melbourne,80.05,25
3,St Kilda,Richmond,St Kilda,62.38,28
3,Hawthorn,GWS Giants,GWS Giants,51.87,23
3,Brisbane Lions,Geelong Cats,Brisbane Lions,61.54,28
3,Adelaide Crows,North Melbourne,Adelaide Crows,68.78,28
3,West Coast Eagles,Fremantle,Fremantle,60.96,48
4,Collingwood,Carlton,Collingwood,59.71,26
4,Geelong Cats,Melbourne,Geelong Cats,64.8,28
4,Gold Coast Suns,Adelaide Crows,Gold Coast Suns,66,23
4,Richmond,Brisbane Lions,Richmond,59.6,28
4,North Melbourne,Sydney Swans,North Melbourne,73.34,23
4,GWS Giants,West Coast Eagles,GWS Giants,81.93,39
4,Port Adelaide,St Kilda,St Kilda,74.55,77
4,Fremantle,Western Bulldogs,Fremantle,62.77,28
5,Adelaide Crows,Geelong Cats,Geelong Cats,69.22,28
5,Collingwood,Sydney Swans,Sydney Swans,51.43,11
5,North Melbourne,Gold Coast Suns,Gold Coast Suns,56.29,28
5,Carlton,West Coast Eagles,Carlton,64.35,7
5,Western Bulldogs,Brisbane Lions,Brisbane Lions,63.27,28
5,Melbourne,Essendon,Essendon,72.08,26
5,Richmond,Fremantle,Fremantle,56.29,21
5,St Kilda,GWS Giants,GWS Giants,58,10
5,Port Adelaide,Hawthorn,Hawthorn,56.9,28
6,Brisbane Lions,Collingwood,Brisbane Lions,70.54,26
6,North Melbourne,Carlton,Carlton,54,30
6,West Coast Eagles,Essendon,Essendon,55.92,30
6,Melbourne,Fremantle,Melbourne,59.61,28
6,Adelaide Crows,GWS Giants,GWS Giants,61.89,26
6,Richmond,Gold Coast Suns,Gold Coast Suns,79.98,24
6,Sydney Swans,Port Adelaide,Sydney Swans,52.7,28
