Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
23,Essendon,St Kilda,St Kilda,65.21,26
23,Fremantle,Brisbane Lions,Brisbane Lions,51.79,25
23,Gold Coast Suns,GWS Giants,Gold Coast Suns,55.21,28
23,Carlton,Port Adelaide,Carlton,57.19,63
23,Hawthorn,Melbourne,Hawthorn,57.28,25
23,Adelaide Crows,Collingwood,Adelaide Crows,69.76,25
23,North Melbourne,Richmond,Richmond,58.27,10
23,Sydney Swans,Geelong Cats,Geelong Cats,56.71,21
23,Western Bulldogs,West Coast Eagles,Western Bulldogs,84.87,92
