Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
17,North Melbourne,Western Bulldogs,Western Bulldogs,69.33,21
17,Carlton,Collingwood,Collingwood,51.79,21
17,West Coast Eagles,GWS Giants,GWS Giants,68.95,26
17,Essendon,Gold Coast Suns,Essendon,53.42,26
17,Geelong Cats,Richmond,Geelong Cats,84.6,29
17,Brisbane Lions,Port Adelaide,Brisbane Lions,68.56,25
17,St Kilda,Hawthorn,Hawthorn,50.55,25
17,Sydney Swans,Fremantle,Fremantle,53.23,21
17,Adelaide Crows,Melbourne,Adelaide Crows,70.77,25
