Round Number,Home Team,Away Team,Predicted Winner,Win Prob,Margin
9,Fremantle,Collingwood,Collingwood,69.81,30
9,St Kilda,Carlton,Carlton,56.17,12
9,Melbourne,Hawthorn,Melbourne,53.98,11
9,Essendon,Sydney Swans,Essendon,57.75,23
9,Gold Coast Suns,Western Bulldogs,Western Bulldogs,50.3,28
9,Port Adelaide,Adelaide Crows,Port Adelaide,69.87,23
9,Richmond,West Coast Eagles,West Coast Eagles,50.46,27
9,Geelong Cats,GWS Giants,Geelong Cats,52.5,28
9,North Melbourne,Brisbane Lions,North Melbourne,62.05,15
